"path_count","point_count","id","label","s_name","s_id"
7,195,152,clock,salah,1663855877847
11,1523,153,car,Shankar,1663855915573
8,290,154,fish,Shankar,1663855915573
10,449,155,house,Shankar,1663855915573
33,954,156,tree,Shankar,1663855915573
25,989,157,bicycle,Shankar,1663855915573
12,1198,158,guitar,Shankar,1663855915573
13,722,159,pencil,Shankar,1663855915573
23,1012,160,clock,Shankar,1663855915573
12,616,161,car,Bojana ,1663855952288
19,666,162,fish,Bojana ,1663855952288
18,542,163,house,Bojana ,1663855952288
22,495,164,tree,Bojana ,1663855952288
37,899,165,bicycle,Bojana ,1663855952288
19,911,166,guitar,Bojana ,1663855952288
16,401,167,pencil,Bojana ,1663855952288
22,633,168,clock,Bojana ,1663855952288
25,2078,169,car,Santiago Ortiz,1663855953328
16,1262,170,fish,Santiago Ortiz,1663855953328
65,3048,171,house,Santiago Ortiz,1663855953328
55,2242,172,tree,Santiago Ortiz,1663855953328
44,1953,173,bicycle,Santiago Ortiz,1663855953328
37,1737,174,guitar,Santiago Ortiz,1663855953328
13,668,175,pencil,Santiago Ortiz,1663855953328
23,1247,176,clock,Santiago Ortiz,1663855953328
7,463,177,car,Andy Beck,1663856044536
3,113,178,fish,Andy Beck,1663856044536
16,378,179,house,Andy Beck,1663856044536
3,131,180,tree,Andy Beck,1663856044536
16,227,181,bicycle,Andy Beck,1663856044536
8,585,182,guitar,Andy Beck,1663856044536
5,307,183,pencil,Andy Beck,1663856044536
18,210,184,clock,Andy Beck,1663856044536
5,818,185,car,Marc,1663856116753
2,278,186,fish,Marc,1663856116753
398,398,187,house,Marc,1663856116753
2,119,188,tree,Marc,1663856116753
9,243,189,bicycle,Marc,1663856116753
17,1069,190,guitar,Marc,1663856116753
7,477,191,pencil,Marc,1663856116753
23,640,192,clock,Marc,1663856116753
14,1122,193,car,Daniel,1663856148500
8,470,194,fish,Daniel,1663856148500
7,358,195,house,Daniel,1663856148500
5,425,196,tree,Daniel,1663856148500
20,557,197,bicycle,Daniel,1663856148500
11,1037,198,guitar,Daniel,1663856148500
7,405,199,pencil,Daniel,1663856148500
15,267,200,clock,Daniel,1663856148500
11,1096,201,car,Picasso 2.0,1663856219990
4,458,202,fish,Picasso 2.0,1663856219990
11,691,203,house,Picasso 2.0,1663856219990
1580,1580,204,tree,Picasso 2.0,1663856219990
20,879,205,bicycle,Picasso 2.0,1663856219990
9,1066,206,guitar,Picasso 2.0,1663856219990
5,420,207,pencil,Picasso 2.0,1663856219990
22,1006,208,clock,Picasso 2.0,1663856219990
